matrix_id	name	URL	colour	class
MA1438.1	atf-7	https://jaspar.uio.no/matrix/MA1438.1/	#	Basic leucine zipper factors (bZIP)
MA0537.1	blmp-1	https://jaspar.uio.no/matrix/MA0537.1/	#	C2H2 zinc finger factors
MA1444.1	cebp-1	https://jaspar.uio.no/matrix/MA1444.1/	#	Basic leucine zipper factors (bZIP)
MA0263.1	ceh-10::ttx-3	https://jaspar.uio.no/matrix/MA0263.1/	#	Homeo domain factors::Homeo domain factors
MA0264.1	ceh-22	https://jaspar.uio.no/matrix/MA0264.1/	#	Homeo domain factors
MA1445.1	ceh-28	https://jaspar.uio.no/matrix/MA1445.1/	#	Homeo domain factors
MA1699.1	ceh-38	https://jaspar.uio.no/matrix/MA1699.1/	#	Homeo domain factors
MA0921.1	ceh-48	https://jaspar.uio.no/matrix/MA0921.1/	#	Homeo domain factors
MA0922.1	ces-2	https://jaspar.uio.no/matrix/MA0922.1/	#	Basic leucine zipper factors (bZIP)
MA0260.1	che-1	https://jaspar.uio.no/matrix/MA0260.1/	#	C2H2 zinc finger factors
MA0538.1	daf-12	https://jaspar.uio.no/matrix/MA0538.1/	#	Other C4 zinc finger-type factors
MA1446.1	daf-16	https://jaspar.uio.no/matrix/MA1446.1/	#	Fork head/winged helix factors
MA0540.1	dpy-27	https://jaspar.uio.no/matrix/MA0540.1/	#	""
MA0919.1	dsc-1	https://jaspar.uio.no/matrix/MA0919.1/	#	Homeo domain factors
MA0541.1	efl-1	https://jaspar.uio.no/matrix/MA0541.1/	#	Fork head/winged helix factors
MA1701.1	elt-2	https://jaspar.uio.no/matrix/MA1701.1/	#	Other C4 zinc finger-type factors
MA0542.1	elt-3	https://jaspar.uio.no/matrix/MA0542.1/	#	Other C4 zinc finger-type factors
MA1439.1	elt-6	https://jaspar.uio.no/matrix/MA1439.1/	#	Other C4 zinc finger-type factors
MA0543.1	eor-1	https://jaspar.uio.no/matrix/MA0543.1/	#	C2H2 zinc finger factors
MA0920.1	fkh-2	https://jaspar.uio.no/matrix/MA0920.1/	#	Fork head/winged helix factors
MA1440.1	fkh-9	https://jaspar.uio.no/matrix/MA1440.1/	#	Fork head/winged helix factors
MA1448.1	fos-1	https://jaspar.uio.no/matrix/MA1448.1/	#	Basic leucine zipper factors (bZIP)
MA0545.1	hlh-1	https://jaspar.uio.no/matrix/MA0545.1/	#	Basic helix-loop-helix factors (bHLH)
MA1449.1	hlh-30	https://jaspar.uio.no/matrix/MA1449.1/	#	Basic helix-loop-helix factors (bHLH)
MA0923.1	lim-4	https://jaspar.uio.no/matrix/MA0923.1/	#	C2H2 zinc finger factors
MA1441.1	lim-7	https://jaspar.uio.no/matrix/MA1441.1/	#	Homeo domain factors
MA0261.1	lin-14	https://jaspar.uio.no/matrix/MA0261.1/	#	""
MA1450.1	lin-54	https://jaspar.uio.no/matrix/MA1450.1/	#	CRC domain
MA0262.1	mab-3	https://jaspar.uio.no/matrix/MA0262.1/	#	DM-type intertwined zinc finger factors
MA1442.1	mab-5	https://jaspar.uio.no/matrix/MA1442.1/	#	Homeo domain factors
MA1451.1	nhr-6	https://jaspar.uio.no/matrix/MA1451.1/	#	Nuclear receptors with C4 zinc fingers
MA0924.1	pal-1	https://jaspar.uio.no/matrix/MA0924.1/	#	Homeo domain factors
MA0546.1	pha-4	https://jaspar.uio.no/matrix/MA0546.1/	#	Fork head/winged helix factors
MA1703.1	pqm-1	https://jaspar.uio.no/matrix/MA1703.1/	#	C2H2 zinc finger factors
MA0547.1	skn-1	https://jaspar.uio.no/matrix/MA0547.1/	#	Basic leucine zipper factors (bZIP)
MA0925.1	sma-4	https://jaspar.uio.no/matrix/MA0925.1/	#	SMAD/NF-1 DNA-binding domain factors
MA0544.1	snpc-4	https://jaspar.uio.no/matrix/MA0544.1/	#	Tryptophan cluster factors
MA1443.1	unc-30	https://jaspar.uio.no/matrix/MA1443.1/	#	Homeo domain factors
MA0918.1	unc-62	https://jaspar.uio.no/matrix/MA0918.1/	#	Homeo domain factors
MA0926.1	unc-86	https://jaspar.uio.no/matrix/MA0926.1/	#	Homeo domain factors
MA0927.1	vab-7	https://jaspar.uio.no/matrix/MA0927.1/	#	Homeo domain factors
MA0928.1	zfh-2	https://jaspar.uio.no/matrix/MA0928.1/	#	Homeo domain factors
MA1704.1	zip-8	https://jaspar.uio.no/matrix/MA1704.1/	#	Basic leucine zipper factors (bZIP)
